formula_id,artifact_key,reporting_tier,direction,fit_split,query_split,transform,methods_sentence,authoritative_source
GEO-6,geometry/nc2_etf_raw,primary,down,id_train,id_train,raw_feature,"NC2n is the sample coefficient of variation of centered class-mean norms, while NC2a and NC2-ETF quantify simplex equiangularity.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-7,geometry/nc2w_equiangular,appendix,down,id_train,id_train,raw_feature,NC2W applies the corresponding ETF geometry diagnostics to classifier-weight rows.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-7,geometry/nc2w_equinorm,appendix,down,id_train,id_train,raw_feature,NC2W applies the corresponding ETF geometry diagnostics to classifier-weight rows.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-7,geometry/nc2w_etf_raw,appendix,down,id_train,id_train,raw_feature,NC2W applies the corresponding ETF geometry diagnostics to classifier-weight rows.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-8,geometry/nc3_eq10_scaled,appendix,down,id_train,id_train,raw_feature,NC3 is the Frobenius distance between globally normalized classifier weights and transposed centered class means.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-8,geometry/nc3_self_duality_raw,primary,down,id_train,id_train,raw_feature,NC3 is the Frobenius distance between globally normalized classifier weights and transposed centered class means.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-9,geometry/nc4_agreement_with_bias,primary,up,id_train,id_test;id_validation,raw_feature_and_logits,NC4 is the agreement rate between the affine classifier and nearest ID-training class-mean predictions.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-9,geometry/nc4_agreement_without_bias,appendix,up,id_train,id_test;id_validation,raw_feature_and_logits,NC4 is the agreement rate between the affine classifier and nearest ID-training class-mean predictions.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-10,geometry/rankme_uncentered,primary,descriptive,id_train,id_train,raw_feature_uncentered,RankMe is spectral entropy computed from singular values of the uncentered ID-training feature matrix.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-12,geometry/spectrum/between_condition_number_retained,primary,descriptive,id_train,id_train,raw_feature_covariance,Numerical rank retains covariance eigenvalues above lambda_max p eps64; conditioning uses only that retained spectrum.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/between_entropy_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-12,geometry/spectrum/between_numerical_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,Numerical rank retains covariance eigenvalues above lambda_max p eps64; conditioning uses only that retained spectrum.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/between_participation_ratio,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/between_trace_top_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-12,geometry/spectrum/sw_condition_number_retained,primary,descriptive,id_train,id_train,raw_feature_covariance,Numerical rank retains covariance eigenvalues above lambda_max p eps64; conditioning uses only that retained spectrum.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/sw_entropy_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-13,geometry/spectrum/sw_log_slope,exploratory,descriptive,id_train,id_train,raw_feature_covariance,The exploratory spectral slope is an OLS fit of natural log within-class eigenvalues against one-based rank.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-12,geometry/spectrum/sw_numerical_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,Numerical rank retains covariance eigenvalues above lambda_max p eps64; conditioning uses only that retained spectrum.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/sw_participation_ratio,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-13,geometry/spectrum/sw_top20_mean_log_decay,exploratory,descriptive,id_train,id_train,raw_feature_covariance,The exploratory spectral slope is an OLS fit of natural log within-class eigenvalues against one-based rank.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/sw_trace_top_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-12,geometry/spectrum/total_condition_number_retained,primary,descriptive,id_train,id_train,raw_feature_covariance,Numerical rank retains covariance eigenvalues above lambda_max p eps64; conditioning uses only that retained spectrum.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/total_entropy_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-12,geometry/spectrum/total_numerical_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,Numerical rank retains covariance eigenvalues above lambda_max p eps64; conditioning uses only that retained spectrum.,docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/total_participation_ratio,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-11,geometry/spectrum/total_trace_top_rank,primary,descriptive,id_train,id_train,raw_feature_covariance,"We report covariance entropy rank, trace-to-top rank, and participation ratio as distinct functions of the same nonnegative covariance eigenvalue spectrum.",docs/reference_cards/11_metric_contract_v1_2.md
GEO-15,geometry/twonn_base_mu_fraction_09,appendix,descriptive,id_train,id_train,raw_feature,TwoNN is the DADApy base estimator fitted through the origin after retaining the lowest 90% of log second-to-first-neighbor ratios.,docs/reference_cards/11_metric_contract_v1_2.md
ID-1,id/accuracy,primary,up,,id_test,raw_logits,"We report top-1 accuracy on the frozen 10,000-image CIFAR-10 test split.",docs/reference_cards/11_metric_contract_v1_2.md
ID-6,id/augrc_msp_raw,primary,down,,id_test,raw_logits,AUGRC combines residual error prevalence and raw-MSP ranking quality using its closed-form binary-error expression.,docs/reference_cards/11_metric_contract_v1_2.md
ID-7,id/aurc_msp_raw,appendix,down,,id_test,raw_logits,AURC is the unscaled trapezoidal area under the tie-grouped raw-MSP risk-coverage curve.,docs/reference_cards/11_metric_contract_v1_2.md
ID-3,id/ece_raw_m10,appendix,down,,id_test,raw_logits,ECE uses 15 fixed equal-width confidence bins; 10- and 30-bin values are prespecified sensitivity analyses.,docs/reference_cards/11_metric_contract_v1_2.md
ID-3,id/ece_raw_m15,primary,down,,id_test,raw_logits,ECE uses 15 fixed equal-width confidence bins; 10- and 30-bin values are prespecified sensitivity analyses.,docs/reference_cards/11_metric_contract_v1_2.md
ID-3,id/ece_raw_m30,appendix,down,,id_test,raw_logits,ECE uses 15 fixed equal-width confidence bins; 10- and 30-bin values are prespecified sensitivity analyses.,docs/reference_cards/11_metric_contract_v1_2.md
ID-4,id/ece_ts_m15,control,down,id_validation,id_test,temperature_scaled_logits,A single positive temperature was fitted on ID validation by float64 NLL minimization and applied once to the frozen ID test logits.,docs/reference_cards/11_metric_contract_v1_2.md
ID-5,id/misclassification_auroc_msp_raw,primary,up,,id_test,raw_logits,Misclassification AUROC treats correct predictions as the positive class and ranks them using raw maximum softmax probability.,docs/reference_cards/11_metric_contract_v1_2.md
ID-2,id/nll_raw,primary,down,,id_test,raw_logits,NLL is the mean negative log-probability assigned to the true class using unscaled logits.,docs/reference_cards/11_metric_contract_v1_2.md
ID-4,id/nll_ts,control,down,id_validation,id_test,temperature_scaled_logits,A single positive temperature was fitted on ID validation by float64 NLL minimization and applied once to the frozen ID test logits.,docs/reference_cards/11_metric_contract_v1_2.md
ID-4,id/temperature,control,descriptive,id_validation,id_test,temperature_scaled_logits,A single positive temperature was fitted on ID validation by float64 NLL minimization and applied once to the frozen ID test logits.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-2,ood_metric/ap_in,appendix,up,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,AUPR-In uses ID as positive; trapezoidal PR-AUC is primary and Average Precision is reported separately.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/ap_in/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/ap_in/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/ap_in/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-3,ood_metric/ap_out,appendix,up,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,AUPR-Out treats OOD as positive and ranks examples with the negated ID-oriented score.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/ap_out/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/ap_out/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/ap_out/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-2,ood_metric/aupr_in_openood_auc,primary,up,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,AUPR-In uses ID as positive; trapezoidal PR-AUC is primary and Average Precision is reported separately.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/aupr_in_openood_auc/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/aupr_in_openood_auc/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/aupr_in_openood_auc/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-3,ood_metric/aupr_out_openood_auc,primary,up,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,AUPR-Out treats OOD as positive and ranks examples with the negated ID-oriented score.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/aupr_out_openood_auc/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/aupr_out_openood_auc/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/aupr_out_openood_auc/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/auroc/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/auroc/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/auroc/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-1,ood_metric/auroc_id_positive,primary,up,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,OOD AUROC treats ID as positive and uses the declared ID-oriented detector score.,docs/reference_cards/11_metric_contract_v1_2.md
OOD-4,ood_metric/fpr95_achieved_id_tpr,appendix,descriptive,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,"FPR@95 is the fraction of OOD scores above the linear 5th percentile of ID scores, using an inclusive threshold.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_achieved_id_tpr/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_achieved_id_tpr/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_achieved_id_tpr/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-4,ood_metric/fpr95_id_tpr,primary,down,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,"FPR@95 is the fraction of OOD scores above the linear 5th percentile of ID scores, using an inclusive threshold.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_id_tpr/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_id_tpr/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_id_tpr/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-4,ood_metric/fpr95_threshold,appendix,descriptive,id_train,id_test_vs_cifar100;id_test_vs_mnist;id_test_vs_places365;id_test_vs_svhn;id_test_vs_texture;id_test_vs_tin,detector_declared,"FPR@95 is the fraction of OOD scores above the linear 5th percentile of ID scores, using an inclusive threshold.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_threshold/far_macro_mean,primary,metric_specific,id_train,id_test_vs_far_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_threshold/near_macro_mean,primary,metric_specific,id_train,id_test_vs_near_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
OOD-5,ood_metric/fpr95_threshold/overall_macro_mean,primary,metric_specific,id_train,id_test_vs_overall_ood,per_dataset_arithmetic_macro_mean,"Near-, far-, and overall OOD results are arithmetic means of per-dataset metrics, not pooled-sample estimates.",docs/reference_cards/11_metric_contract_v1_2.md
